,Unnamed: 0,Recipe_Name,Type,Serving,Protein,Fat,Carbs,Calories,cholesterol,sodium,fiber,sugar,Prepare time,cooking time,Total_Time,Ratings
0,0,Protein Waffles,cottage cheese,2.0,8.5,4.5,12.0,121.0,81.0,224.5,1.5,1.5,10.0,5.0,15 mins,4.9
1,1,Deviled Eggs,appetizer,2.0,6.3,7.5,1.0,96.8,187.0,156.1,,0.3,10.0,15.0,25 mins,4.78
2,2,Crustless Quiche,dinner,1.0,20.0,12.5,5.0,215.0,193.0,620.0,1.0,2.5,15.0,40.0,55 mins,4.88
3,3,Spanish Tortilla with Pimenton Aioli,appetizer,1.0,9.0,14.5,21.5,247.0,188.0,363.5,2.0,2.5,15.0,,1 hr 15 mins,4.44
4,4,Corned Beef Hash,breakfast,1.0,14.5,16.0,26.0,300.0,62.5,782.5,3.5,6.5,10.0,15.0,25 mins,4.75
5,5,Green Shakshuka,breakfast,2.0,20.0,16.0,16.0,291.0,380.0,724.0,5.0,6.0,15.0,30.0,45 mins,5.0
6,6,Whole Wheat Irish Soda Bread Muffins,Breakfast,1.0,4.0,3.5,24.5,147.0,24.0,148.0,1.5,10.0,10.0,20.0,35 mins,4.84
7,7,High-Protein Egg Bagel,breakfast,1.0,10.0,2.5,30.0,184.0,93.5,487.0,1.0,1.5,10.0,25.0,50 mins,4.8
8,8,Carrot Banana Protein Smoothie,breakfast,1.0,28.5,6.5,34.0,294.0,,290.5,7.0,17.5,5.0,0.0,5 mins,4.84
9,9,Chocolate Oat Flour Banana Bread,Breakfast,1.0,5.5,7.0,34.5,190.0,34.5,179.5,9.5,11.5,15.0,50.0,1 hr 20 mins,4.97
10,10,Mushroom Toast,breakfast,1.0,7.0,10.5,20.5,196.0,14.5,222.0,2.0,3.5,5.0,10.0,15 mins,5.0
11,11,Smoked Turkey Sausage Breakfast Skillet,Breakfast,1.0,22.5,19.0,5.5,284.0,355.5,547.5,1.5,1.5,5.0,22.0,27 mins,5.0
12,12,Breakfast Casserole with Spinach and Sausage,Breakfast,1.0,22.0,15.0,5.0,245.0,268.0,616.0,0.5,2.5,15.0,35.0,50 mins,4.86
13,13,Cheddar Biscuits,dinner,1.0,8.0,5.0,26.5,185.0,16.0,480.5,1.0,1.0,15.0,20.0,45 mins,4.78
14,14,Cornbread Muffins,breakfast,1.0,4.0,5.5,27.0,170.0,46.5,237.0,1.5,9.0,10.0,20.0,30 mins,5.0
15,15,Pumpkin Bread Recipe,breakfast,1.0,2.1,2.2,18.7,103.0,,280.5,0.7,10.2,25.0,50.0,1 hr 15 mins,4.9
16,16,Pumpkin Baked Oatmeal Cups,breakfast,1.0,6.0,3.0,37.0,104.0,64.0,137.0,1.5,2.0,10.0,30.0,45 mins,4.73
17,17,Apple Turnover,dessert,1.0,1.5,1.0,24.0,111.0,,129.0,2.0,11.5,30.0,30.0,1 hr 10 mins,5.0
18,18,Classic Egg Salad,breakfast,1.0,9.5,15.5,1.0,185.0,282.0,215.5,,2.0,5.0,20.0,25 mins,4.89
19,19,Mini Pumpkin Chocolate Chip Muffins,breakfast,2.0,2.0,5.0,27.0,160.0,,118.0,2.0,18.0,15.0,25.0,40 mins,4.82
20,20,Banana Bread Recipe,Breakfast,1.0,3.0,3.0,29.0,123.0,15.5,165.0,1.5,4.0,15.0,45.0,1 hr 10 mins,4.96
21,21,Cinnamon-Raisin Overnight Oats,breakfast,1.0,10.0,14.0,58.0,378.0,,176.5,12.0,21.0,5.0,0.0,4 hrs 5 mins,5.0
22,22,Mini Quiche,breakfast,2.0,18.0,14.0,16.0,268.0,275.0,654.0,0.5,1.5,15.0,30.0,45 mins,4.75
23,23,Babka-Inspired Bagels,breakfast,1.0,5.0,2.0,30.0,158.0,47.0,473.0,1.0,5.0,30.0,28.0,1 hr 13 mins,4.89
24,24,Feta Eggs with Zucchini,breakfast,2.0,17.5,20.5,7.5,284.0,397.0,471.0,1.0,3.5,5.0,8.0,13 mins,5.0
25,25,Zucchini Bread,breakfast,1.0,3.5,5.5,21.0,144.0,15.5,125.0,2.0,8.0,20.0,55.0,1 hr 15 mins,4.84
26,26,Loaded Egg Muffins,breakfast,2.0,14.0,11.0,2.5,165.0,289.0,267.0,,,10.0,20.0,30 mins,4.72
27,27,Protein Bagels with Cottage Cheese,Cottage Cheese,1.0,9.0,1.0,28.5,164.0,5.0,583.0,1.0,1.0,10.0,12.0,37 mins,4.82
28,28,Greek Cottage Cheese Bowl,Cottage Cheese,1.0,21.5,7.0,9.5,186.0,28.5,695.0,1.5,6.0,10.0,0.0,15 mins,4.72
29,29,Broccoli and Cheese Egg Muffins,breakfast,2.0,18.0,8.5,5.0,167.0,170.0,317.0,2.5,,5.0,30.0,35 mins,4.77
30,30,English Muffin Breakfast Sandwich,Breakfast,1.0,18.5,9.5,29.5,242.0,211.0,671.0,8.0,3.2,2.0,10.0,15 mins,5.0
31,31,20+ High Protein Breakfast Ideas,breakfast,,,,,,,,,,,,,
32,32,Roasted Strawberry Almond Flour Muffins,breakfast,1.0,6.0,8.5,15.5,164.0,7.0,155.5,2.5,10.5,30.0,20.0,50 mins,4.41
33,33,Huevos Pericos,breakfast,1.0,13.9,7.7,8.5,155.0,,,2.3,,2.0,5.0,7 mins,5.0
34,34,Green Smoothie Bowl,breakfast,1.0,9.0,10.5,74.0,404.0,,115.0,12.0,51.5,5.0,0.0,5 mins,5.0
35,35,Insanely Good Blueberry Oatmeal Muffins,snacks,1.0,3.0,2.5,28.5,127.0,,222.5,2.5,17.5,40.0,22.0,1 hr 2 mins,4.85
36,36,Artichoke Pie,dessert,1.0,12.5,13.0,17.0,229.0,107.5,401.0,4.0,1.0,10.0,55.0,1 hr 5 mins,4.86
37,37,Hash Brown Egg White Nests,breakfast,2.0,13.0,2.0,15.0,134.0,,,2.0,0.5,15.0,55.0,1 hr 10 mins,4.7
38,38,Tropical Chia Pudding Breakfast Bowl (High Protein),Breakfast,1.0,18.0,13.0,35.0,305.0,7.0,110.0,12.0,19.0,10.0,0.0,2 hrs 10 mins,4.95
39,39,High Protein Egg White Muffins with Turkey Bacon,cottage cheese,2.0,20.0,4.5,4.5,144.0,33.0,502.0,1.0,2.0,15.0,35.0,50 mins,4.86
40,40,Air Fryer Breakfast Banana Split,breakfast,1.0,15.0,9.0,41.0,286.0,7.0,46.0,4.5,26.0,2.0,5.0,7 mins,4.95
41,41,Zoats or Zucchini Oats,breakfast,1.0,24.0,12.5,63.0,441.0,,207.0,12.0,18.0,5.0,5.0,10 mins,4.69
42,42,Breakfast Strata with Sausage and Mushrooms,Breakfast,1.0,24.3,12.4,18.2,289.0,86.7,355.0,1.3,0.6,10.0,50.0,1 hr,5.0
43,43,Slow Cooker Steel Cut Oats,breakfast,3.0,9.0,8.0,50.5,302.0,,35.0,9.5,12.5,5.0,,2 hrs 5 mins,4.92
44,44,Bacon Spinach Breakfast Casserole with Gruyère Cheese,Breakfast,1.0,22.0,19.0,4.0,276.0,313.0,527.0,1.0,3.0,10.0,45.0,55 mins,4.92
45,45,Savory Steel Cut Oatmeal,breakfast,1.0,21.0,12.0,26.0,290.0,72.0,605.0,4.0,2.0,5.0,12.0,17 mins,4.92
46,46,High-Protein Zucchini Omelet for One,lunch,1.0,31.0,13.0,10.5,283.0,194.5,844.5,2.0,6.0,5.0,12.0,17 mins,4.95
