,Recipe_Name,Type,Serving,Protein,Fat,Carbs,Calories,cholesterol,sodium,fiber,sugar,Prepare time,cooking time,Total_Time,Ratings
0,Italian Shrimp Salad,lunch,1,20,11.5,5,198,152,442.5,1.5,1,20,0,3 hrs 20 mins,4.86
1,Deviled Eggs,appetizer,2,6.3,7.5,1,96.8,187,156.1,,0.3,10,15,25 mins,4.78
2,Spanish Tortilla with Pimenton Aioli,appetizer,1,9,14.5,21.5,247,188,363.5,2,2.5,15,,1 hr 15 mins,4.44
3,Crispy Butter Beans,appetizer,1,8.5,8,27.5,187,,777,8.5,3,5,15,20 mins,4.34
4,Bloody Mary Deviled Eggs,Appetizer,2,9,7.5,1.5,113,197.5,1289.5,0.5,1,15,20,35 mins,5
5,White Bean Crostini,Appetizer,2,3,2,10,67,,144,1.5,0.5,10,5,15 mins,5
6,Cacio e Pepe Cheese Crisps,appetizer,2,3.5,4,1,58,13.5,255.5,,,10,10,30 mins,5
7,Sugar Plum Baked Brie Bites,appetizer,1,2.5,5,6,78,9.5,133,,2,15,15,30 mins,5
8,Spinach-Artichoke Crostini,appetizer,2,4.5,2.5,15,97,7.5,219,2,2,10,20,30 mins,4.67
9,Mummy Hot Dogs,appetizer,1,6,2.5,8,81,15.5,342,0.5,0.5,30,12,52 mins,5
10,Mummy Jalapeno Poppers,appetizer,1,4,2,8,65,7,162.5,0.5,1,30,30,1 hr,5
11,Hummus,Appetizer,1,10,12,28.5,252,,447.5,7.5,4.5,15,0,15 mins,4.95
12,Corn Salsa,Appetizer,1,2,0.5,12,57,,10,2,4,15,0,1 hr 15 mins,5
13,Spicy Salmon Sushi Pizza,Dinner,1,24.5,26.5,17,403,68,527,4.5,2,5,12,20 mins,5
14,Grilled Pesto Chicken and Tomato Kebabs,dinner,1,18,7.5,3,147,2.5,104,1,,10,10,1 hr 20 mins,5
15,Vegetable Charcuterie Board,asparagus,,,,,,,,,,20,0,20 mins,5
16,Chicken Summer Rolls,Appetizer,2,23,16,30,299,98,899.5,2,6,10,30,40 mins,4.84
17,Artichoke Dip,appetizer,1,4.5,4,4.8,73.7,,,0.7,,5,20,25 mins,5
18,Best Guacamole Recipe,Appetizer,1,1,8,6,93,,75,4,,5,0,5 mins,5
19,Pico de Gallo,Appetizer,1,1,0.5,8,36.5,,13,1.5,0.3,5,0,5 mins,5
20,Chicken Satay with Spicy Peanut Sauce,boneless chicken thighs,4,34.5,9,8,265,103.5,918.5,1,5.5,20,10,40 mins,4.87
21,How To Make a Colorful Crudite Platter,appetizer,,,,,,,,,,20,0,15 mins,
22,Baked Salmon Cakes,appetizer,1,7,3,8,87,23,297,1,1,5,25,30 mins,4.91
23,Buffalo Chicken Dip,appetizer,1,15,6.5,4.5,121,48,707,,2.5,10,30,40 mins,4.94
24,Baked Buffalo Chicken Jalapeño Poppers,appetizer,2,7,5,5,92,14,346,1,1,20,25,45 mins,5
25,"Loaded Nachos with Ground Turkey, Beans and Cheese",appetizer,1,28,17.5,45,386,32,990,1.5,8.5,10,15,25 mins,4.96
26,Buffalo Chicken Meatballs,dinner,1,4,2,1,37,26,135,,,15,20,35 mins,4.92
27,Tortilla Encrusted Chicken Tenders,Appetizer,2,34,11,22,331,137,695,1.5,2,5,,25 mins,4.95
28,Breaded Shrimp,Dinner,1,20,3,10,149,145,934.5,0.5,1,15,10,25 mins,4.86
29,Whipped Feta Dip,appetizer,1,7.5,13,2.5,155,36,437,0.5,0.5,15,0,15 mins,4.91
30,Spinach Dip Stuffed Mushrooms,appetizer,3,7,7,5,105,20,219,1,2,15,25,40 mins,5
31,"Veggie Stromboli with Mushroom, Spinach and Mozzarella",appetizer,1,11,6,31.5,217.5,7.5,519.5,1.5,3.5,20,35,55 mins,5
32,Butternut Squash Galette,dinner,1,5.5,15.5,32,274,43.5,410,2,7,30,,1 hr 30 mins,5
33,How To Make a Charcuterie Board,appetizer,,,,,,,,,,30,0,30 mins,4.78
34,Greek Yogurt Caesar Dip,,1,4.5,4,3.5,68,9,207,0.5,1.5,10,0,25 mins,5
35,Oysters Rockefeller,appetizer,2,11,4.5,7.5,116,55.5,167.5,0.5,1,20,10,30 mins,5
36,Asian Chicken Lettuce Wraps,Lettuce Wraps,1,8.5,3,9.5,102,32,344,1,4.5,10,40,50 mins,5
37,Everything Bagel Pigs in a Blanket,snacks,2,12,5,14,160,32,755,0.5,1,20,25,55 mins,5
38,Pizza Sausage Rolls,dinner,1,22,10,30,302,51,957,1.5,4,20,30,50 mins,4.91
39,Baked Mexican Layer Dip,appetizer,1,15.5,8.5,11.5,173,37,550.5,3.5,2,10,50,1 hr,4.77
40,Tuna Tartare,appetizer,1,11,6.5,2.5,114,16,342.5,1.5,0.5,10,0,10 mins,5
41,Air Fryer Popcorn Chicken,appetizer,15,30,8,21,283,129,385,1.5,2,30,10,40 mins,4.94
42,"Black Bean, Avocado, Cucumber and Tomato Salad",lunch,1,3.5,4,12.5,94,,152,4,1.5,10,0,10 mins,4.67
43,Air Fryer Empanadas,lunch,1,11,5,22,183,16,196,1,2.5,10,16,30 mins,4.82
44,Greek Turkey Meatballs,appetizer,4,27,11,13.5,254,,,3.5,,10,15,25 mins,4.82
45,Tuna Croquettes (Baked or Air Fryer),canned tuna,2,22.5,3.5,21.5,215,69,426.5,1.5,1.5,10,40,1 hr,4.80
46,Mini Bell Pepper Loaded Turkey “Nachos”,lunch,7,18,11,6.5,187,62,418,1,0.5,15,25,40 mins,4.91
47,Spinach and Bacon Stuffed Mushrooms,Appetizer,1,3,1.5,3,34.5,2.5,58.5,1,0.5,15,30,45 mins,4.91
48,Air Fryer Buffalo Chicken Nuggets,lunch,,27,3,9.5,180,83,501.5,0.5,1,5,16,21 mins,4.95
49,Jalapeno Poppers,appetizer,2,4,2.5,3.5,52,10,92,0.5,1.5,15,20,35 mins,4.93
50,Jalapeno Popper “Nachos”,appetizer,2,10,6.5,3,111,25.5,262,1,2,15,30,45 mins,4.93
51,Pepperoni Pizza Bites,appetizer,4,18,9.5,31,286,30,974,1.5,4,10,30,40 mins,4.81
52,Sausage and Broccoli Rabe Egg Rolls (Air Fryer or Oven),appetizer,1,10,3.5,15,136,29.5,465,1,1,15,30,45 mins,4.50
53,Chilled Calamari Salad with Lemon and Parsley,appetizer,1,18,2,8,122,,66,0.9,1.2,10,5,15 mins,5
54,Drunken Mussels,appetizer,11,29,12,11,307,75.5,858.5,0.5,0.5,10,15,25 mins,5
55,Waffled Vegetable Latkes,Appetizer,2,9,4,35,205,139.5,575.5,6,6,25,5,30 mins,4.75
56,Baked Brie Phyllo Tarts with Craisins and Walnuts,appetizer,1,2,3,6.5,60,,59,0.5,4,8,7,15 mins,5
57,Sausage and Pepper Stromboli (Stuffed Sausage Bread),appetizer,1,12.5,5.5,43.5,272,20.5,671,1.5,1,10,50,2 hrs,5
