,Recipe_Name,Type,Serving,Protein,Fat,Carbs,Calories,cholesterol,sodium,fiber,sugar,Prepare time,cooking time,Total_Time,Ratings
0,Protein Waffles,cottage cheese,2,8.5,4.5,12,121,81,224.5,1.5,1.5,10,5,15 mins,4.90
1,Deviled Eggs,appetizer,2,6.3,7.5,1,96.8,187,156.1,,0.3,10,15,25 mins,4.78
2,Crustless Quiche,dinner,1,20,12.5,5,215,193,620,1,2.5,15,40,55 mins,4.88
3,Spanish Tortilla with Pimenton Aioli,appetizer,1,9,14.5,21.5,247,188,363.5,2,2.5,15,,1 hr 15 mins,4.44
4,Corned Beef Hash,breakfast,1,14.5,16,26,300,62.5,782.5,3.5,6.5,10,15,25 mins,4.75
5,Green Shakshuka,breakfast,2,20,16,16,291,380,724,5,6,15,30,45 mins,5
6,Whole Wheat Irish Soda Bread Muffins,Breakfast,1,4,3.5,24.5,147,24,148,1.5,10,10,20,35 mins,4.84
7,High-Protein Egg Bagel,breakfast,1,10,2.5,30,184,93.5,487,1,1.5,10,25,50 mins,4.80
8,Carrot Banana Protein Smoothie,breakfast,1,28.5,6.5,34,294,,290.5,7,17.5,5,0,5 mins,4.84
9,Chocolate Oat Flour Banana Bread,Breakfast,1,5.5,7,34.5,190,34.5,179.5,9.5,11.5,15,50,1 hr 20 mins,4.97
10,Mushroom Toast,breakfast,1,7,10.5,20.5,196,14.5,222,2,3.5,5,10,15 mins,5
11,Smoked Turkey Sausage Breakfast Skillet,Breakfast,1,22.5,19,5.5,284,355.5,547.5,1.5,1.5,5,22,27 mins,5
12,Breakfast Casserole with Spinach and Sausage,Breakfast,1,22,15,5,245,268,616,0.5,2.5,15,35,50 mins,4.86
13,Cheddar Biscuits,dinner,1,8,5,26.5,185,16,480.5,1,1,15,20,45 mins,4.78
14,Cornbread Muffins,breakfast,1,4,5.5,27,170,46.5,237,1.5,9,10,20,30 mins,5
15,Pumpkin Bread Recipe,breakfast,1,2.1,2.2,18.7,103,,280.5,0.7,10.2,25,50,1 hr 15 mins,4.90
16,Pumpkin Baked Oatmeal Cups,breakfast,1,6,3,37,104,64,137,1.5,2,10,30,45 mins,4.73
17,Apple Turnover,dessert,1,1.5,1,24,111,,129,2,11.5,30,30,1 hr 10 mins,5
18,Classic Egg Salad,breakfast,1,9.5,15.5,1,185,282,215.5,,2,5,20,25 mins,4.89
19,Mini Pumpkin Chocolate Chip Muffins,breakfast,2,2,5,27,160,,118,2,18,15,25,40 mins,4.82
20,Banana Bread Recipe,Breakfast,1,3,3,29,123,15.5,165,1.5,4,15,45,1 hr 10 mins,4.96
21,Cinnamon-Raisin Overnight Oats,breakfast,1,10,14,58,378,,176.5,12,21,5,0,4 hrs 5 mins,5
22,Mini Quiche,breakfast,2,18,14,16,268,275,654,0.5,1.5,15,30,45 mins,4.75
23,Babka-Inspired Bagels,breakfast,1,5,2,30,158,47,473,1,5,30,28,1 hr 13 mins,4.89
24,Feta Eggs with Zucchini,breakfast,2,17.5,20.5,7.5,284,397,471,1,3.5,5,8,13 mins,5
25,Zucchini Bread,breakfast,1,3.5,5.5,21,144,15.5,125,2,8,20,55,1 hr 15 mins,4.84
26,Loaded Egg Muffins,breakfast,2,14,11,2.5,165,289,267,,,10,20,30 mins,4.72
27,Protein Bagels with Cottage Cheese,Cottage Cheese,1,9,1,28.5,164,5,583,1,1,10,12,37 mins,4.82
28,Greek Cottage Cheese Bowl,Cottage Cheese,1,21.5,7,9.5,186,28.5,695,1.5,6,10,0,15 mins,4.72
29,Broccoli and Cheese Egg Muffins,breakfast,2,18,8.5,5,167,170,317,2.5,,5,30,35 mins,4.77
30,English Muffin Breakfast Sandwich,Breakfast,1,18.5,9.5,29.5,242,211,671,8,3.2,2,10,15 mins,5
31,20+ High Protein Breakfast Ideas,breakfast,,,,,,,,,,,,,
32,Roasted Strawberry Almond Flour Muffins,breakfast,1,6,8.5,15.5,164,7,155.5,2.5,10.5,30,20,50 mins,4.41
33,Huevos Pericos,breakfast,1,13.9,7.7,8.5,155,,,2.3,,2,5,7 mins,5
34,Green Smoothie Bowl,breakfast,1,9,10.5,74,404,,115,12,51.5,5,0,5 mins,5
35,Insanely Good Blueberry Oatmeal Muffins,snacks,1,3,2.5,28.5,127,,222.5,2.5,17.5,40,22,1 hr 2 mins,4.85
36,Artichoke Pie,dessert,1,12.5,13,17,229,107.5,401,4,1,10,55,1 hr 5 mins,4.86
37,Hash Brown Egg White Nests,breakfast,2,13,2,15,134,,,2,0.5,15,55,1 hr 10 mins,4.70
38,Tropical Chia Pudding Breakfast Bowl (High Protein),Breakfast,1,18,13,35,305,7,110,12,19,10,0,2 hrs 10 mins,4.95
39,High Protein Egg White Muffins with Turkey Bacon,cottage cheese,2,20,4.5,4.5,144,33,502,1,2,15,35,50 mins,4.86
40,Air Fryer Breakfast Banana Split,breakfast,1,15,9,41,286,7,46,4.5,26,2,5,7 mins,4.95
41,Zoats or Zucchini Oats,breakfast,1,24,12.5,63,441,,207,12,18,5,5,10 mins,4.69
42,Breakfast Strata with Sausage and Mushrooms,Breakfast,1,24.3,12.4,18.2,289,86.7,355,1.3,0.6,10,50,1 hr,5
43,Slow Cooker Steel Cut Oats,breakfast,3,9,8,50.5,302,,35,9.5,12.5,5,,2 hrs 5 mins,4.92
44,Bacon Spinach Breakfast Casserole with Gruyère Cheese,Breakfast,1,22,19,4,276,313,527,1,3,10,45,55 mins,4.92
45,Savory Steel Cut Oatmeal,breakfast,1,21,12,26,290,72,605,4,2,5,12,17 mins,4.92
46,High-Protein Zucchini Omelet for One,lunch,1,31,13,10.5,283,194.5,844.5,2,6,5,12,17 mins,4.95
47,High-Protein Enchilada Scrambled Eggs,breakfast,1,25.5,14,12,270,15,882.5,5,3,2,5,7 mins,5
48,Apple Pie Overnight Oats,dessert,1,8,11,59,361,,154,10,21,10,15,8 hrs 25 mins,4.73
49,Avocado Toast with Egg – Four (4) Ways,breakfast,1,12,10,23,229,186,223,5,4,5,5,10 mins,4.97
50,Pumpkin Banana Bread,breakfast,1,2.7,2.7,33.3,146.5,23,131.5,1.6,20,25,,1 hr 25 mins,4.92
51,Lox and Eggs with Onions,breakfast,1,21.5,17,9,279,397,690,1.5,4,5,15,20 mins,5
52,Whole Wheat Pumpkin Pancakes with Pecans,breakfast,2,10,8,31,234,3,497,4,11,10,10,20 mins,4.77
53,Peanut Butter Banana Muffins,Breakfast,1,5.5,9,24.5,192,5,170,2,9.5,15,25,40 mins,4.89
54,Cream Cheese Pumpkin Muffins,breakfast,1,3.5,6,25,170,34,160,2,16,15,25,40 mins,4.85
55,Pumpkin Overnight Oats,breakfast,1,10,12,40.5,269,,165.5,10,16,10,0,8 hrs 10 mins,5
56,Avocado Toast with Halloumi and Egg,Breakfast,1,16,17,19,295,211,812,3,2,5,15,20 mins,5
