,Recipe_Name,Type,Serving,Protein,Fat,Carbs,Calories,cholesterol,sodium,fiber,sugar,Prepare time,cooking time,Total_Time,Ratings
0,Almond Cake,Dessert,1,7,11,17,179,47,39,3,13,20,40,1 hr,4.86
1,Lemon-Coconut Almond Cake,dessert,1,6.5,10.5,20.5,198,46.5,32.5,4,14,20,30,1 hr 5 mins,4.91
2,Lemon Poppy Seed Cupcakes,dessert,1,3.5,4,42,152,23.5,160,1.5,6.5,15,25,50 mins,
3,Chocolate Oat Flour Banana Bread,Breakfast,1,5.5,7,34.5,190,34.5,179.5,9.5,11.5,15,50,1 hr 20 mins,4.97
4,Cottage Cheese Cheesecake,cottage cheese,1,6.5,10.5,15,159,60,243,0.5,3,15,44,4 hrs 59 mins,4.88
5,Coconut Cookies,Dessert,2,1.5,2.5,19,188,,53,2,14,20,18,40 mins,4.86
6,Snowman Chocolate Bark,Dessert,1,2,8,18,118,,1.5,10,1,15,0,45 mins,
7,Coconut Macaroons,dessert,2,2,7,14.5,129,54.5,74,1,13.5,35,45,1 hr 20 mins,4.95
8,Chewy Chocolate Chip Cookies (Low-Fat),Dessert,2,2,6,20,133,15.5,45,3,8,10,10,20 mins,4.70
9,Oatmeal Chocolate Chip Cookies,breakfast,1,1.5,1.5,12,64,8,59.5,0.5,5,15,15,30 mins,4.84
10,Pumpkin Mug Cake,dessert,1,4,3,41.5,134,,21.5,3.5,1.5,5,2,7 mins,4.55
11,Pumpkin Chocolate Chip Cookies,Dessert,2,2.5,3.5,25.5,95,15,107,3,1,10,15,25 mins,4.84
12,Apple Turnover,dessert,1,1.5,1,24,111,,129,2,11.5,30,30,1 hr 10 mins,5
13,Apple Cobbler Recipe,dessert,1,1.5,4,44.5,215,5.5,71,4,32,20,50,1 hr 10 mins,5
14,Babka-Inspired Bagels,breakfast,1,5,2,30,158,47,473,1,5,30,28,1 hr 13 mins,4.89
15,Grilled Pineapple,dessert,2,0.6,1,24,102,,2,2,21,5,10,15 mins,4.97
16,Blueberry Galette,dessert,1,2.5,6.5,31,155,5,137.5,2,7.5,20,40,1 hr 15 mins,4.97
17,Carrot Cake Recipe with Cream Cheese Frosting,dessert,1,4,8,32,216,33,392,2,22,20,45,1 hr,4.85
18,Chocolate Brownie Date Balls,dessert,1,2.5,6.5,26,153,,1.5,4,20.5,15,0,15 mins,4.91
19,Healthy Chocolate Chip Oat Cookies,Dessert,2,4,10,20,174,15.5,50,4.5,6.5,10,10,20 mins,4.59
20,Apple and Grape Fall Fruit Salad,dessert,1,6,8.5,36,209,,16,3,19,15,,15 mins,5
21,Raspberry Coconut Chia Pudding Popsicles,dessert,1,1.8,5,6.8,74,,27,4.6,0.6,5,,6 hrs 5 mins,5
22,"Red, White and Blueberry Trifle",dessert,1,2.5,5.5,28.5,158,,143.5,2,15.5,15,0,1 hr 15 mins,4.96
23,Mango Coconut Chia Pudding,dessert,1,7,13,22,227,,66,11.5,10.5,5,0,5 hrs 5 mins,4.98
24,Instant Pot Baked Oatmeal Bars,Instant Pot,1,9,6.5,45,266,,61,8,11,10,50,1 hr,4.86
25,Blueberry Frozen Yogurt,dessert,1,2.5,2.5,36,76,8.5,29,1.5,9.5,20,,1 d 20 mins,4.89
26,Chocolate Frozen Yogurt in the Ninja™ CREAMi®,Dessert,1,4,3.5,20.5,88,11,54,1,8.5,15,0,1 d 15 mins,5
27,Lemon Cheesecake Yogurt Cups,dessert,1,3.5,4.5,12,108,6.5,108,1,9,10,25,35 mins,4.72
28,3-Ingredient Strawberries Romanoff,dessert,5,1,3,15,79,9,12,2,12,5,0,5 mins,4.93
29,Healthy 3-Ingredient Banana Oatmeal Cookies,breakfast,2,2,3.5,15,93,,0.5,2,4.5,10,15,25 mins,4.67
30,Red White and Blue Fruit Skewers with Cheesecake Yogurt Dip,dessert,1,3,2.5,18.5,105,1.5,147.5,2,7,20,0,20 mins,5
31,Triple Berry Crisp,breakfast,1,2,4.5,29.5,152,9.5,4.5,4,17,15,40,55 mins,5
32,Ambrosia Fruit Salad,dessert,1,1.5,7,26,163,,13.2,3,14,15,0,15 mins,5
33,Strawberries and Yogurt Whipped Cream,dessert,6,2.5,7.5,13,125,27.5,15.5,2,11,15,0,15 mins,5
34,Flaugnarde of Mixed Berries (Clafoutis),dessert,1,4.4,2.3,33,167.5,71,76.3,1.8,8,15,45,1 hr,4.80
35,“Fried” Oreos,Dessert,2,3,3.5,16,107,6.5,96,0.5,8.5,3,12,15 mins,5
36,3-Ingredient Baked Bananas,dessert,1,1.5,0.5,35.5,137,,2,3,23,5,15,20 mins,4.80
37,Fudgy Flourless Crinkle Brownie Cookies with Sea Salt,dessert,2,6,12,30,207,,189,8,16.5,15,15,2 hrs 30 mins,4.83
38,Pizzelle Cookies,Dessert,2,2,3,14.5,91,25,25,0.5,7.5,10,20,30 mins,5
39,Dark Chocolate Peanut Butter Bark,Dessert,1,3,12,17,144,17,19,8,0.5,10,5,15 mins,4.82
40,Apple Cranberry Crumble,dessert,3,2,5.5,44.5,211,,186.6,3,35.5,15,,1 hr 15 mins,4.97
41,Pumpkin Pistachio Energy Balls,dinner,1,3,5,24,138,,37,3,19,15,0,15 mins,4.77
42,Pumpkin Pie Dip,appetizer,1,2,4,21,105,1,10,1,17,15,0,15 mins,4.93
43,Skinny Pumpkin Snickerdoodles,Dessert,1,1,1,9.5,51,7.5,20,1,6,25,5,30 mins,4.44
