,Recipe_Name,Type,Serving,Protein,Fat,Carbs,Calories,cholesterol,sodium,fiber,sugar,Prepare time,cooking time,Total_Time,Ratings
0,Italian Sub Salad,Dinner,2,22,19,11.5,298,71.5,1573.5,3,5.5,20,0,20 mins,5
1,Deviled Eggs,appetizer,2,6.3,7.5,1,96.8,187,156.1,,0.3,10,15,25 mins,4.78
2,Crustless Quiche,dinner,1,20,12.5,5,215,193,620,1,2.5,15,40,55 mins,4.88
3,Spanish Tortilla with Pimenton Aioli,appetizer,1,9,14.5,21.5,247,188,363.5,2,2.5,15,,1 hr 15 mins,4.44
4,Fish Cakes,Dinner,2,29,9.5,19.5,277,153.5,624,1,3,5,15,20 mins,4.84
5,Avocado Egg Salad,lunch,1,9,12,4.5,155,148,132,3,0.5,15,0,15 mins,4.92
6,Cranberry Chicken Salad on Apple Slices ,lunch,1,36,20,30,439,105,245,5,22.5,15,0,15 mins,5
7,Butternut Squash Soup,Dinner,1,3,4,28,144,,199,5,10,20,40,1 hr,5
8,Chicken Pot Pie Soup,Dinner,1,30,3.5,32,268,64,983,4,12,10,35,45 mins,4.75
9,Roasted Red Pepper Soup,dinner,1,3,3,21,138,8.5,770,3,5.8,10,45,55 mins,4.80
10,Korean-Inspired Salmon Rice Bowl,Rice Bowl,1,33,10,50,431,78,416,1,6,10,6,21 mins,4.92
11,Mushroom Toast,breakfast,1,7,10.5,20.5,196,14.5,222,2,3.5,5,10,15 mins,5
12,BBQ Chicken Tenders in Air Fryer,lunch,3,43,6.5,17.5,312,171,751.5,1,5,10,20,30 mins,5
13,King Crab Legs,Dinner,2,83,2.5,,380,190,3792,,,0,10,10 mins,3
14,Leftover Turkey Noodle Soup,Dinner,1,5,0.5,25.5,131,,57,4.5,2.5,10,,10 mins,5
15,Meximelt,lunch,1,21.5,12,20,224,61,640.5,12,2,10,30,40 mins,4.94
16,White Bean Pumpkin Turkey Chili (Slow Cooker or Instant Pot),Instant Pot,1,32,2.5,31,272.5,,499,12,2.5,5,,4 hrs 5 mins,4.58
17,Air Fryer Chicken Bites,dinner,1,38.5,7.5,1,233,124,868,0.5,0.5,5,24,29 mins,4.97
18,Autumn Kale Salad with Chicken,Dinner,1,30,27,38,504,70.5,514.5,8.5,17.5,15,30,45 mins,5
19,Chicken Nuggets,cauliflower rice,6,28,13,13,280,154.5,670.5,1.5,1.5,20,10,30 mins,4.92
20,Classic Egg Salad,breakfast,1,9.5,15.5,1,185,282,215.5,,2,5,20,25 mins,4.89
21,Air Fryer Chicken Cutlets,dinner,1,30.5,9.5,14,268,131.5,743,0.5,2,20,16,1 hr 36 mins,4.91
22,Loaded Baked Potato Soup,lunch,1,14,7,23,200,17,323,3.5,6,10,10,20 mins,4.76
