,Recipe_Name,Type,Serving,Protein,Fat,Carbs,Calories,cholesterol,sodium,fiber,sugar,Prepare time,cooking time,Total_Time,Ratings
0,Green Goddess Potato Salad,,1,4.5,3.5,23,141,0.5,202,2.5,2.5,20,15,1 hr 35 mins,5
1,Italian Shrimp Salad,lunch,1,20,11.5,5,198,152,442.5,1.5,1,20,0,3 hrs 20 mins,4.86
2,Arugula Salad,,1,3.5,8.5,2,96,5,161,0.5,1,5,0,5 mins,
3,Italian Sub Salad,Dinner,2,22,19,11.5,298,71.5,1573.5,3,5.5,20,0,20 mins,5
4,Pea Salad,Lunch,1,5,4.5,8,89,11.5,150.5,2.5,1,10,18,28 mins,4.67
5,Avocado Egg Salad,lunch,1,9,12,4.5,155,148,132,3,0.5,15,0,15 mins,4.92
6,Shaved Brussels Sprout Salad with Pears and Pomegranate,,1,4,9,15.5,154,5.5,240,4.5,7,15,0,15 mins,4.75
7,Autumn Kale Salad with Chicken,Dinner,1,30,27,38,504,70.5,514.5,8.5,17.5,15,30,45 mins,5
8,Classic Egg Salad,breakfast,1,9.5,15.5,1,185,282,215.5,,2,5,20,25 mins,4.89
9,Coleslaw Recipe,dinner,1,1,5,7,73,,302,2,3,15,0,45 mins,4.89
10,Italian Pasta Salad,,1,9,9.5,28,237,13,345,2,2.5,15,15,1 hr 30 mins,4.87
11,Mexican-Inspired Grilled Corn Salad with Cotija,,3,4,6.5,13,117,7.5,211,1.5,4,15,15,30 mins,5
12,Macaroni Salad with Tomatoes,,3,3.5,3.5,21.5,125,2.5,165.5,1.5,0.5,15,10,25 mins,4.84
13,Creamy Cucumber Salad,,3,5,1.5,7,60,7,229.5,1,4,10,0,10 mins,5
14,Red Potato Salad,,3,2.2,3.2,17.8,107,,,2.1,,15,10,25 mins,4.92
15,Mexican Shrimp Cobb Salad,dinner,2,28,9,24,267.5,157.5,578.5,8,4,15,0,15 mins,5
16,Fiesta Bean Salad,lunch,1,14,11.5,47,335,,481.5,15.5,0.5,10,0,10 mins,4.99
17,Italian Sub Broccoli Salad,lunch,2,21,23.5,20,373,41,1278,6,8,15,0,15 mins,4.99
18,5-Ingredient Salmon Salad (easy lunch idea),Lettuce Wraps,1,17.5,7,2.5,139,39.5,185,0.5,1,2,3,15 mins,4.71
19,Classic Chicken Salad Recipe,lunch,1,18,5,2,131,50,307,,1,5,5,10 mins,4.92
20,Air Fryer Egg Salad,lunch,2,12.5,20,1,237,378,299.5,,0.5,5,15,20 mins,5
